,t[s],q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
16,0.04,0.008529105072495,-0.051729044688331,0.029877435204083,-0.825833666351261,-1.53835939811478,-1.86014077525937,1.02857339986858,-0.689331353109453,-1.03719816819424,-0.05312219364993,0.258945253250061,-0.032124670114643,-0.76161285516653,2.01688404095675,-1.85230445006725,1.1136632672761,0.728760182465319,-0.997821302446745,-0.134419566983764,0.103401451731433,-0.038882596204478,0.467505449941089,-1.69297864648212,1.76315016375017,-1.27540259850426,-0.72204964454857,0.720999383303874,0.099792720643391,0.128379129397505,0.035503951347231,0.585326444955512,1.53612095933688,1.84998739258654,-1.17076502848326,0.58717565058886,0.859178232018048
17,0.0425,0.008382481497177,-0.050429832404272,0.032897241078079,-0.82990312845379,-1.53406114192654,-2.03787987272302,1.0269122731314,-0.69767798972714,-1.13837341796402,-0.052351784952872,0.256966772930735,-0.035857921515576,-0.756246961522909,2.0138444947803,-2.03210051993523,1.11551997965095,0.729146268046764,-1.09113875820563,-0.13414290199454,0.103100260319746,-0.042887778867952,0.463060144656235,-1.69279074620758,1.92991874407262,-1.27747650681276,-0.708950160284674,0.785319069481436,0.100145328772386,0.128932153588952,0.039682136689825,0.589523141705399,1.51990776383389,2.02892947283991,-1.16963412851093,0.611786488633779,0.944846201536867
18,0.045,0.008241184102872,-0.04902129643159,0.035853976701727,-0.833969814379244,-1.52995856188946,-2.21033855239879,1.02522677433037,-0.70519480171649,-1.23689615917068,-0.051581593971622,0.2550002314431,-0.039580436719624,-0.750877952602255,2.01082668862005,-2.20700379077954,1.11737877306918,0.729452852501115,-1.18135661332735,-0.133866363437998,0.102773523937473,-0.046819610477665,0.458609180529719,-1.69257811150716,2.09147167800654,-1.27952999288676,-0.69718814275753,0.84704354441162,0.10050150824752,0.129588911477091,0.043858320653756,0.593694102048515,1.50344642116568,2.20295457607744,-1.16847106907566,0.633884542466316,1.02861329952699
19,0.0475,0.008104362294298,-0.047428550429448,0.038770478432458,-0.838014341404597,-1.52625065046021,-2.3796426774767,1.0235279305227,-0.71186410504896,-1.3339698979514,-0.050825184624784,0.253117857433113,-0.043338921269003,-0.745538853267035,2.00794242998855,-2.37912762156131,1.11923632504023,0.729678447879075,-1.26955592721365,-0.133591771801873,0.102425455525215,-0.05071303736846,0.454174983558894,-1.69234118976943,2.24979137848085,-1.28154693965651,-0.687553757737444,0.906898118073853,0.100855878553228,0.130412494488486,0.048083150528828,0.597813488680056,1.48724306522058,2.37421189533119,-1.16726285738327,0.651985277168158,1.11148955748921
20,0.05,0.007971165476175,-0.045576708057008,0.041669582627704,-0.842017326806825,-1.5231364000955,-2.54791811114677,1.02182676876558,-0.717668215696008,-1.43079814044338,-0.050096120830963,0.25139187954673,-0.047180080705931,-0.740262688379717,2.00530352639833,-2.55058537124169,1.12108931307349,0.729821566231349,-1.35681775926626,-0.133320947573899,0.102060268023572,-0.05460300587518,0.449779979741112,-1.69208042838299,2.40686025842447,-1.28351123005222,-0.680837170994722,0.965608100447562,0.101203059173946,0.131465994049706,0.052407273604846,0.601855464295219,1.47180382988693,2.54485062363323,-1.16599650063962,0.664604157820992,1.19448500692435
21,0.0525,0.007840743053224,-0.043390882973432,0.044574125644896,-0.845959387862901,-1.52081480325203,-2.71729071659898,1.02013431611621,-0.72258944962909,-1.52858439278382,-0.049407966508761,0.249894526429906,-0.051150620572626,-0.735082482802767,2.00302178536192,-2.72349039878179,1.1229344146784,0.729880719608641,-1.44422316888693,-0.133055711241811,0.101682174373145,-0.058524462332666,0.445446595073728,-1.69179627473642,2.56466073076631,-1.28540674700411,-0.677828548299672,1.02389880151218,0.101537669594105,0.132812501587316,0.056881337171616,0.605794191589203,1.45763484905305,2.7170199540156,-1.16465900605054,0.670256649506503,1.27860967933319
22,0.055,0.007708361664569,-0.040702909033447,0.047506943841467,-0.849846058019302,-1.51924534075416,-2.88988635702337,1.01843987692942,-0.726889475658977,-1.62853216110991,-0.04875595327669,0.248655916528391,-0.055297246411305,-0.72998673690189,2.00115177366155,-2.89995606314276,1.1247754246108,0.72970697730547,-1.53285321547739,-0.132794814915164,0.101269756113307,-0.062512353075761,0.44116339328172,-1.69126092192351,2.72517520843528,-1.28723367435154,-0.677793131103489,1.08249553124712,0.101857675299441,0.135281841635516,0.061555988518941,0.60964204442595,1.444970188037,2.89286907951039,-1.16322980781035,0.669954867301282,1.36487360621656
23,0.0575,0.007567833597124,-0.037347514905577,0.050490873574848,-0.853719652973334,-1.51799575926183,-3.06783089560992,1.0167069975483,-0.731095520732026,-1.73184495155886,-0.048109045700662,0.247596994530804,-0.059666663764187,-0.724900140099303,1.99958335198535,-3.08209572328572,1.12662405606643,0.729009012756281,-1.62378895843938,-0.132533142487961,0.100771419040196,-0.066601624439307,0.436873553452338,-1.69001388380176,2.89038610436032,-1.28902075193206,-0.67798654470691,1.14212359963183,0.102169242478982,0.140222604663991,0.066481874936628,0.613463670764829,1.43329735500813,3.07454719314965,-1.16169690338204,0.668141487986135,1.45428681907525
24,0.06,0.007422710572941,-0.033424795989965,0.053548751202472,-0.857582760414392,-1.51698404475994,-3.25325019554865,1.01493909492228,-0.735167584984885,-1.83972627026785,-0.047466098780575,0.246666851498089,-0.06430557817349,-0.719819965681146,1.99823111429391,-3.27202273817181,1.12847852684637,0.727793029154883,-1.71811145717464,-0.132271018994631,0.100182793787967,-0.070827222758146,0.432578066430982,-1.68804512416156,3.06227583147032,-1.29077445467424,-0.67829622728592,1.20350831664572,0.102475907607896,0.147252231556219,0.07170964371448,0.617259362067778,1.42225153053205,3.26420348796544,-1.16007674309864,0.665066746337075,1.54785934941007
25,0.0625,0.007276801050922,-0.029041456142534,0.056703413081769,-0.861436640180221,-1.51614050311388,-3.44827012002958,1.01314081714498,-0.739049071136123,-1.95337962337409,-0.046826953763023,0.245816275223759,-0.06926069518143,-0.714745882101986,1.99701177104836,-3.47185046676216,1.13033664531198,0.726073963816488,-1.81690177108491,-0.132008940694766,0.099500966190064,-0.07522409436712,0.428279781294969,-1.68535798546221,3.24282680269421,-1.29250044109631,-0.678693697256891,1.26737499226823,0.102781066821548,0.155940161905804,0.077289942142304,0.621027325266907,1.41147837776053,3.46398715698984,-1.15838641079254,0.660844853086149,1.64660122872182
26,0.065,0.007133913489969,-0.02430419921921,0.060087770846011,-0.865282552108563,-1.51539544018908,-3.66234232347151,1.01131681230998,-0.742683381904307,-2.07858050569182,-0.046191451894603,0.244996053501329,-0.074898848815912,-0.709677557816387,1.99584203270987,-3.6914986608389,1.13219621982458,0.723866754056308,-1.92460273414065,-0.131747403847959,0.098723022079931,-0.079998615473105,0.423981547121618,-1.68195581016302,3.44055118164647,-1.29420436971652,-0.679150473036196,1.33626428338809,0.103088116255301,0.165855835306349,0.083640224950513,0.624765767294328,1.40062355984534,3.68393523173813,-1.15664299029614,0.6555900189654,1.75580171463569
27,0.0675,0.006997856348984,-0.019319729075918,0.063968944424623,-0.869121756037162,-1.51467916185092,-3.91331151780381,1.00947172851089,-0.746013920008005,-2.22648573356756,-0.045559434421911,0.244156974124312,-0.082012504890015,-0.704614661278916,1.99463860973959,-3.95000019262978,1.13405505874553,0.721186337189554,-2.04938168216171,-0.131486904713802,0.09784604729101,-0.085568045572162,0.419686212988248,-1.6778419407233,3.67133855804285,-1.2958918990531,-0.679638073040207,1.41457097634444,0.10340045204452,0.176568691351456,0.091668805011519,0.628472895082153,1.38933273993825,3.94328751897152,-1.15486356544184,0.649416454706874,1.88592440702372
28,0.07,0.006872438086867,-0.014194749568581,0.068232051886347,-0.872955511803763,-1.51392197396482,-4.19303336782094,1.00761021384132,-0.748984088165786,-2.39218292763227,-0.044930742591542,0.243249824886222,-0.090320252675275,-0.699556860944139,1.99331821259866,-4.23887183447115,1.13591097043616,0.718047650531438,-2.18734628566461,-0.131227939551887,0.096867127656744,-0.091756681781544,0.415396627972176,-1.67301971960235,3.9278047050986,-1.29756868762431,-0.680128015685295,1.50001271933004,0.103721470324567,0.187648169634731,0.101056855432116,0.632146915562495,1.37725158119101,4.23347494858616,-1.15306522006205,0.642438371042616,2.03253718698477
