t[s],q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3
0.7625,0,0.372065813711963,-0.461452669040121,0,0.372065813711963,-0.461452669040121,0,0.172781661051841,0.190278128074385,0,0.172781661051841,0.190278128074385,0,-6.93926507870605,12.230154473619,0,-6.93926507870605,12.230154473619,0,1.71892695277394,-15.1673296656458,0,1.71892695277394,-15.1673296656458,0,0.407595678121808,0.101266382510265,0,0.407595678121808,0.101266382510265,0,0.388645470115076,0.107309183524437,0,0.388645470115076,0.107309183524437
0.765,0,0.355024317246839,-0.429985045471697,0,0.355024317246839,-0.429985045471697,0,0.177901067712843,0.15204320864443,0,0.177901067712843,0.15204320864443,0,-6.92026647978485,12.4203343786706,0,-6.92026647978485,12.4203343786706,0,1.85484185213007,-15.2791635147206,0,1.85484185213007,-15.2791635147206,0,0.415507116039339,0.10172223136376,0,0.415507116039339,0.10172223136376,0,0.40599280775159,0.108776663098193,0,0.40599280775159,0.108776663098193
0.7675,0,0.338052725400188,-0.398036805278022,0,0.338052725400188,-0.398036805278022,0,0.183378463654255,0.113538779190252,0,0.183378463654255,0.113538779190252,0,-6.89761155956318,12.6121087770489,0,-6.89761155956318,12.6121087770489,0,1.99416736324488,-15.3898588036636,0,1.99416736324488,-15.3898588036636,0,0.426175952919826,0.100344401762475,0,0.426175952919826,0.100344401762475,0,0.426301194621626,0.111106868992258,0,0.426301194621626,0.111106868992258
0.77,0,0.321156465799736,-0.365606288512824,0,0.321156465799736,-0.365606288512824,0,0.189224951117156,0.074769496204288,0,0.189224951117156,0.074769496204288,0,-6.87165065252726,12.8052581485902,0,-6.87165065252726,12.8052581485902,0,2.13718402867132,-15.4992296432467,0,2.13718402867132,-15.4992296432467,0,0.436535977619588,0.099030518598704,0,0.436535977619588,0.099030518598704,0,0.44669146876295,0.113423837667605,0,0.44669146876295,0.113423837667605
0.7725,0,0.304339792357848,-0.332692578013516,0,0.304339792357848,-0.332692578013516,0,0.195452470893818,0.035740603826631,0,0.195452470893818,0.035740603826631,0,-6.84287914576857,12.9994689913008,0,-6.84287914576857,12.9994689913008,0,2.28424581302969,-15.6070279928326,0,2.28424581302969,-15.6070279928326,0,0.44223575637025,0.100483678264338,0,0.44223575637025,0.100483678264338,0,0.463077562897916,0.114480693519396,0,0.463077562897916,0.114480693519396
0.775,0,0.28760695745513,-0.299294757586882,0,0.28760695745513,-0.299294757586882,0,0.202072964870867,-0.003542653035718,0,0.202072964870867,-0.003542653035718,0,-6.81179261567938,13.1944276805359,0,-6.81179261567938,13.1944276805359,0,2.43570677675971,-15.7130057306733,0,2.43570677675971,-15.7130057306733,0,0.438922178124665,0.107408028331213,0,0.438922178124665,0.107408028331213,0,0.471371834678048,0.113030076884295,0,0.471371834678048,0.113030076884295
0.7775,0,0.270963631853814,-0.265410893128042,0,0.270963631853814,-0.265410893128042,0,0.209097728414546,-0.043075628765675,0,0.209097728414546,-0.043075628765675,0,-6.77870457367267,13.3899477199965,0,-6.77870457367267,13.3899477199965,0,2.59182722171698,-15.8169949153523,0,2.59182722171698,-15.8169949153523,0,0.423962832261079,0.121431810197617,0,0.423962832261079,0.121431810197617,0,0.469098427928935,0.108320256636263,0,0.469098427928935,0.108320256636263
0.78,0,0.254426107524211,-0.231031428146524,0,0.254426107524211,-0.231031428146524,0,0.21653321557945,-0.082858165383962,0,0.21653321557945,-0.082858165383962,0,-6.74256518155097,13.586794583285,0,-6.74256518155097,13.586794583285,0,2.75216536125243,-15.9194280164933,0,2.75216536125243,-15.9194280164933,0,0.407610357571199,0.136126601820677,0,0.407610357571199,0.136126601820677,0,0.465850957832305,0.103310896206714,0,0.465850957832305,0.103310896206714
0.7825,0,0.238015491626915,-0.196143350496275,0,0.238015491626915,-0.196143350496275,0,0.224383685581635,-0.122892139409604,0,0.224383685581635,-0.122892139409604,0,-6.70170651815074,13.7861653254383,0,-6.70170651815074,13.7861653254383,0,2.91596111255716,-16.0210097037735,0,2.91596111255716,-16.0210097037735,0,0.405958909577717,0.141411443027692,0,0.405958909577717,0.141411443027692,0,0.476694808951486,0.102644242671637,0,0.476694808951486,0.102644242671637
0.785,0,0.221752915233602,-0.160733630871278,0,0.221752915233602,-0.160733630871278,0,0.232653386738114,-0.16317943746447,0,0.232653386738114,-0.16317943746447,0,-6.65445759305611,13.9892591446232,0,-6.65445759305611,13.9892591446232,0,3.08245281223964,-16.1224459985506,0,3.08245281223964,-16.1224459985506,0,0.435131651379742,0.127187236014281,0,0.435131651379742,0.127187236014281,0,0.516722537349229,0.11097089841539,0,0.516722537349229,0.11097089841539
