,t[s],q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
20,0.05,0,0,0,-1.12229192115075,2.24455563352532,-0.206002976142364,2.37574292696987,-1.04965095200534,17.9629959127442,0,0,0,-1.12229192115075,2.24455563352532,-0.206002976142364,2.37574292696987,-1.04965095200534,17.9629959127442,0,0,0,1.12607560453978,-2.05627926267731,19.3272695264968,-2.38521391810226,0.537635703148618,20.4192792366783,0,0,0,1.12607560453978,-2.05627926267731,19.3272695264968,-2.38521391810226,0.537635703148618,20.4192792366783
21,0.0525,0,0,0,-1.116615930583,2.27500791493635,-0.261518580132429,2.37299548763228,-1.09301691879851,18.9629959127442,0,0,0,-1.116615930583,2.27500791493635,-0.261518580132429,2.37299548763228,-1.09301691879851,18.9629959127442,0,0,0,1.12093579372175,-2.06521913506372,20.3272695264968,-2.38395896444029,0.5120801455278,21.4192792366783,0,0,0,1.12093579372175,-2.06521913506372,20.3272695264968,-2.38395896444029,0.5120801455278,21.4192792366783
22,0.055,0,0,0,-1.11087771245498,2.30115666768741,-0.317940048492842,2.37014706987841,-1.13420844609552,19.9629959127442,0,0,0,-1.11087771245498,2.30115666768741,-0.317940048492842,2.37014706987841,-1.13420844609552,19.9629959127442,0,0,0,1.11578066806371,-2.07194261475663,21.3272695264968,-2.38276709411559,0.486705582394049,22.4192792366783,0,0,0,1.11578066806371,-2.07194261475663,21.3272695264968,-2.38276709411559,0.486705582394049,22.4192792366783
23,0.0575,0,0,0,-1.10508535394905,2.32384410158644,-0.393683536087593,2.36720182457532,-1.17361792771124,20.9629959127442,0,0,0,-1.10508535394905,2.32384410158644,-0.393683536087593,2.36720182457532,-1.17361792771124,20.9629959127442,0,0,0,1.11061310638406,-2.07723056350896,22.3272695264968,-2.38163617449835,0.461856604203656,23.4192792366783,0,0,0,1.11061310638406,-2.07723056350896,22.3272695264968,-2.38163617449835,0.461856604203656,23.4192792366783
24,0.06,0,0,0,-1.09924459966418,2.3439333992665,-0.44988844855347,2.36416169250491,-1.21197111170936,21.9629959127442,0,0,0,-1.09924459966418,2.3439333992665,-0.44988844855347,2.36416169250491,-1.21197111170936,21.9629959127442,0,0,0,1.10543018787569,-2.08297245222123,23.3272695264968,-2.38055202101839,0.441203932719039,24.4192792366783,0,0,0,1.10543018787569,-2.08297245222123,23.3272695264968,-2.38055202101839,0.441203932719039,24.4192792366783
25,0.0625,0,0,0,-1.09336019143558,2.36202810465554,-0.467793526760311,2.36102689277264,-1.25004277031355,22.9629959127442,0,0,0,-1.09336019143558,2.36202810465554,-0.467793526760311,2.36102689277264,-1.25004277031355,22.9629959127442,0,0,0,1.10023056897085,-2.08962713249834,24.3272695264968,-2.37950496455856,0.425395420158119,25.4192792366783,0,0,0,1.10023056897085,-2.08962713249834,24.3272695264968,-2.37950496455856,0.425395420158119,25.4192792366783
26,0.065,0,0,0,-1.08743628705506,2.3783883766341,-0.473177883131695,2.35779612094646,-1.28848462600056,23.9629959127442,0,0,0,-1.08743628705506,2.3783883766341,-0.473177883131695,2.35779612094646,-1.28848462600056,23.9629959127442,0,0,0,1.0950168824283,-2.09561640666714,25.3272695264968,-2.37849539876749,0.410433691232222,26.4192792366783,0,0,0,1.0950168824283,-2.09561640666714,25.3272695264968,-2.37849539876749,0.410433691232222,26.4192792366783
27,0.0675,0,0,0,-1.08147647695128,2.39323407370457,-0.483596238418555,2.35446759984075,-1.32759137873693,24.9629959127442,0,0,0,-1.08147647695128,2.39323407370457,-0.483596238418555,2.35446759984075,-1.32759137873693,24.9629959127442,0,0,0,1.08979163643734,-2.10054711832357,26.3272695264968,-2.37752467070007,0.394972601674277,27.4192792366783,0,0,0,1.08979163643734,-2.10054711832357,26.3272695264968,-2.37752467070007,0.394972601674277,27.4192792366783
28,0.07,0,0,0,-1.0754844118395,2.4066378058177,-0.494721514139779,2.35103966354534,-1.36739696250036,25.9629959127442,0,0,0,-1.0754844118395,2.4066378058177,-0.494721514139779,2.35103966354534,-1.36739696250036,25.9629959127442,0,0,0,1.08455692814816,-2.10458723031801,27.3272695264968,-2.37659292887995,0.379267144285235,28.4192792366783,0,0,0,1.08455692814816,-2.10458723031801,27.3272695264968,-2.37659292887995,0.379267144285235,28.4192792366783
29,0.0725,0,0,0,-1.06946417901371,2.41844197126162,-0.473345150740715,2.34751101794161,-1.40775907618441,26.9629959127442,0,0,0,-1.06946417901371,2.41844197126162,-0.473345150740715,2.34751101794161,-1.40775907618441,26.9629959127442,0,0,0,1.0793145735324,-2.10787331366998,28.3272695264968,-2.37569855308051,0.364046461327254,29.4192792366783,0,0,0,1.0793145735324,-2.10787331366998,28.3272695264968,-2.37569855308051,0.364046461327254,29.4192792366783
