,Unnamed: 0,q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
20,20,0.0288114825972417,0.0604891608125603,0.0,-0.93819441202401,-1.5463501245742288,-0.0,1.2693878349014511,-1.019583501130725,-0.0,-0.0735786899953555,0.1293451045811744,0.0,-0.8803370893263347,1.9738924841870755,-0.0,1.3006137237628084,1.1235199958647148,-0.0,-0.1801455356168539,0.0158612432907962,-0.0,0.3965628569927055,-1.8463392246708044,0.0,-1.3017726908966878,-0.6600471811427613,0.0,0.1251817651635866,0.1837411389952279,-0.0,0.4856275695773978,1.6135272001844467,0.0,-1.2126227425841962,0.1784538368693004,0.0
21,21,0.0290641680764303,0.0569929688400891,0.0,-0.9425034649741012,-1.5298452925892267,-0.0,1.2669737566578143,-1.0309142395888742,-0.0,-0.0730281167932209,0.1230263165164636,0.0,-0.8753105321757662,1.9694601715888205,-0.0,1.3033447818676978,1.1276452586236383,-0.0,-0.1799476603535793,0.005298014899052,-0.0,0.3919418665612271,-1.8471008044483692,0.0,-1.303448054956278,-0.659832047306383,0.0,0.125826353790479,0.1823529223942065,-0.0,0.4898146374977654,1.6040806054300836,0.0,-1.2124296317080097,0.190221786818939,0.0
22,22,0.0292965645408531,0.0543765891798118,0.0,-0.9467412849315674,-1.5174938808126797,-0.0,1.2645405257208264,-1.040899225382704,-0.0,-0.0725216545797691,0.1182976435201619,0.0,-0.8702918261495399,1.9645630404399097,-0.0,1.306094264357751,1.1307324041982325,-0.0,-0.1798042590894732,-0.0031980488410431,-0.0,0.3873125758639699,-1.8476707336328624,0.0,-1.3051221830377977,-0.6596710516293238,0.0,0.1264373449742036,0.1813140487546665,-0.0,0.4939768833824656,1.594082054892254,0.0,-1.2122264251743706,0.1988478145054529,0.0
23,23,0.0295009377799945,0.0529036231859657,0.0,-0.950883902688754,-1.51054029919031,-0.0,1.262097004864631,-1.0493910533024928,-0.0,-0.0720790417160329,0.1156355013909753,0.0,-0.8652779632813621,1.9590611604353751,-0.0,1.3088690896278234,1.1324704013698463,-0.0,-0.1797256239884317,-0.0089521879019925,-0.0,0.3826701659483211,-1.8479915916185756,0.0,-1.3067945214005063,-0.6595804144939473,0.0,0.1269926144296102,0.1807291850339391,-0.0,0.4981112818487184,1.5835257073276792,0.0,-1.2120156008894702,0.2036231829455897,0.0
24,24,0.0296713762608426,0.0532001227781801,0.0,-0.9549110113989224,-1.5097642768870736,-0.0,1.2596453201401927,-1.0564177918683704,-0.0,-0.0717133924387665,0.1154114360004593,0.0,-0.8602658564173487,1.952922078630843,-0.0,1.3116744978242576,1.1327213239087492,-0.0,-0.1797144421238632,-0.0116726836388005,-0.0,0.37801123677645,-1.8480120777936508,0.0,-1.3084644222090662,-0.6596235572162173,0.0,0.1274756148910671,0.1812759481555649,-0.0,0.5022192184456045,1.5723496478209011,0.0,-1.2117815137498824,0.2039385370038798,0.0
25,25,0.0298179201990052,0.0578018914542198,0.0,-0.9588401291461672,-1.5124957646376789,-0.0,1.2571438401939108,-1.063143585728337,-0.0,-0.0713867010682362,0.1170803424163702,0.0,-0.855254148123908,1.9467757350685304,-0.0,1.314501555699118,1.1325603282044268,-0.0,-0.1797210602827957,-0.0137419285438797,-0.0,0.3733436469791399,-1.8477407186017043,0.0,-1.3101311276832337,-0.6601247240007836,0.0,0.1279163956864281,0.1870390217368754,-0.0,0.5063284733802291,1.5601218823528906,0.0,-1.2114042860485243,0.2001748564410108,0.0
26,26,0.0299472859083975,0.0664261773379965,0.0,-0.9626919615753092,-1.517966724815607,-0.0,1.254589200489866,-1.0697295273355494,-0.0,-0.0710847552950102,0.120290329508517,0.0,-0.8502457662872305,1.9405805272590129,-0.0,1.3173452696123151,1.132230888163584,-0.0,-0.1797339953920758,-0.0156846273845567,-0.0,0.3686706859509577,-1.8471855894539928,0.0,-1.3117952712251737,-0.6610618236723885,0.0,0.1283310541611316,0.1983111004730249,-0.0,0.5104379155689208,1.5467189169197877,0.0,-1.210890029160108,0.1927379471678053,0.0
27,27,0.0300640940995298,0.0781920796361336,0.0,-0.9664838332113896,-1.526032060358895,-0.0,1.251987966684473,-1.0760775240004272,-0.0,-0.0708019437724938,0.1248102447723736,0.0,-0.8452440780375512,1.934131294568405,-0.0,1.3202026493922234,1.13173406280732,-0.0,-0.1797525516773351,-0.0174876164478636,-0.0,0.3639938450726412,-1.8463486299112704,0.0,-1.313457696973443,-0.6623366118438068,0.0,0.128728957564671,0.2144951361948705,-0.0,0.5145395878231454,1.532099069989047,0.0,-1.2102735062273295,0.1819366792020949,0.0
28,28,0.0301729654829124,0.0922186975552546,0.0,-0.97023306857945,-1.5365466742055796,-0.0,1.2493467044341466,-1.0820894830333894,-0.0,-0.0705326551540922,0.1304089357034139,0.0,-0.8402524505051046,1.9272228763628216,-0.0,1.323070704867218,1.131070911156734,-0.0,-0.1797760333642056,-0.0191377320208325,-0.0,0.3593146157249284,-1.8452317795342927,0.0,-1.3151192490666,-0.663850844127813,0.0,0.12911947314654,0.2349940807332689,-0.0,0.518625532954369,1.5162206600281245,0.0,-1.2095894803928855,0.1680799225617112,0.0
29,29,0.0302785207690557,0.1076251303019828,0.0,-0.9739569922045326,-1.549365469293697,-0.0,1.2466719793953005,-1.0876673117448543,-0.0,-0.0702712780932105,0.136855249797112,0.0,-0.8352742508201256,1.919650112008377,-0.0,1.325946445865673,1.1302424922329244,-0.0,-0.1798037446783189,-0.0206218103904954,-0.0,0.354634489288557,-1.8438369778838168,0.0,-1.316780771643201,-0.665506276137182,0.0,0.129511968156232,0.2592108859190772,-0.0,0.5226877937740579,1.4990420055044738,0.0,-1.2088727147994716,0.1514765472644858,0.0
