t[s],q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3
0.2875,0,-1.0508705842021,1.47664099983347,0,-1.0508705842021,1.47664099983347,0,0.959474468637247,-1.41809819545823,0,0.959474468637247,-1.41809819545823,0,4.03812427392735,-4.14371393089875,0,4.03812427392735,-4.14371393089875,0,-3.802767684108,4.55340412908476,0,-3.802767684108,4.55340412908476,0,0.105588507357585,0.054910927605452,0,0.105588507357585,0.054910927605452,0,-0.148661901193995,-0.047984765353807,0,-0.148661901193995,-0.047984765353807
0.29,0,-1.0404877571175,1.4674212400773,0,-1.0404877571175,1.4674212400773,0,0.94950830253606,-1.40754753407916,0,0.94950830253606,-1.40754753407916,0,4.12136434403897,-3.92591282373288,0,4.12136434403897,-3.92591282373288,0,-3.92102958668199,4.40276133950626,0,-3.92102958668199,4.40276133950626,0,0.10157776000585,0.054219837802229,0,0.10157776000585,0.054219837802229,0,-0.143707549896218,-0.047765720017946,0,-0.143707549896218,-0.047765720017946
0.2925,0,-1.02992419468249,1.45872537155218,0,-1.02992419468249,1.45872537155218,0,0.939279137324708,-1.39736592572721,0,0.939279137324708,-1.39736592572721,0,4.19931863171314,-3.71126182889381,0,4.19931863171314,-3.71126182889381,0,-4.03308283925355,4.25289096201449,0,-4.03308283925355,4.25289096201449,0,0.097690623284627,0.055097901780176,0,0.097690623284627,0.055097901780176,0,-0.139102922942337,-0.049044002701246,0,-0.139102922942337,-0.049044002701246
0.295,0,-1.0191930207679,1.45054550572598,0,-1.0191930207679,1.45054550572598,0,0.928802384477684,-1.38755138238565,0,0.928802384477684,-1.38755138238565,0,4.27197240756255,-3.49979298937221,0,4.27197240756255,-3.49979298937221,0,-4.13891173165407,4.10381939694182,0,-4.13891173165407,4.10381939694182,0,0.09347049304055,0.054956684588412,0,0.09347049304055,0.054956684588412,0,-0.134023709690334,-0.049337044666351,0,-0.134023709690334,-0.049337044666351
0.2975,0,-1.00830731852026,1.44287384839718,0,-1.00830731852026,1.44287384839718,0,0.918093421889256,-1.37810199337836,0,0.918093421889256,-1.37810199337836,0,4.33932803638406,-3.29150025414576,0,4.33932803638406,-3.29150025414576,0,-4.2385172288042,3.95554171867123,0,-4.2385172288042,3.95554171867123,0,0.088901994907187,0.053660522139426,0,0.088901994907187,0.053660522139426,0,-0.128434088917728,-0.048514141509279,0,-0.128434088917728,-0.048514141509279
0.3,0,-0.997280155566261,1.43570264131318,0,-0.997280155566261,1.43570264131318,0,0.907167614656431,-1.36901587750336,0,0.907167614656431,-1.36901587750336,0,4.4013943974873,-3.08636305474385,0,4.4013943974873,-3.08636305474385,0,-4.33190665042226,3.80804106341438,0,-4.33190665042226,3.80804106341438,0,0.084137905104572,0.052008489729495,0,0.084137905104572,0.052008489729495,0,-0.122598728993282,-0.047340873208157,0,-0.122598728993282,-0.047340873208157
0.3025,0,-0.986124598487944,1.42902413079725,0,-0.986124598487944,1.42902413079725,0,0.896040327894754,-1.36029115736341,0,0.896040327894754,-1.36029115736341,0,4.45817904440688,-2.88436358981174,0,4.45817904440688,-2.88436358981174,0,-4.41908610051303,3.66130282853584,0,-4.41908610051303,3.66130282853584,0,0.079300761918133,0.050632411149452,0,0.079300761918133,0.050632411149452,0,-0.116728448674812,-0.046422499799828,0,-0.116728448674812,-0.046422499799828
0.305,0,-0.97485370981093,1.42283058119301,0,-0.97485370981093,1.42283058119301,0,0.884726926894702,-1.35192597054821,0,0.884726926894702,-1.35192597054821,0,4.50968417628183,-2.68549524076879,0,4.50968417628183,-2.68549524076879,0,-4.50005677018926,3.51532155001295,0,-4.50005677018926,3.51532155001295,0,0.074390827874511,0.049487744015717,0,0.074390827874511,0.049487744015717,0,-0.110816302216571,-0.045715944198658,0,-0.110816302216571,-0.045715944198658
0.3075,0,-0.963480551037884,1.41711426137473,0,-0.963480551037884,1.41711426137473,0,0.873242776985594,-1.34391845841559,0,0.873242776985594,-1.34391845841559,0,4.55591065448632,-2.48975418296492,0,4.55591065448632,-2.48975418296492,0,-4.57481862305042,3.3700940469913,0,-4.57481862305042,3.3700940469913,0,0.069377819686492,0.048360986479973,0,0.069377819686492,0.048360986479973,0,-0.104800945075265,-0.045016171847758,0,-0.104800945075265,-0.045016171847758
0.31,0,-0.95201817917389,1.41186745322151,0,-0.95201817917389,1.41186745322151,0,0.861603241012286,-1.33626677320638,0,0.861603241012286,-1.33626677320638,0,4.59685976406353,-2.29713569615008,0,4.59685976406353,-2.29713569615008,0,-4.64337198323025,3.22561638425364,0,-4.64337198323025,3.22561638425364,0,0.064243201995611,0.047105732758189,0,0.064243201995611,0.047105732758189,0,-0.098642535504994,-0.044182567348671,0,-0.098642535504994,-0.044182567348671
0.3125,0,-0.940479639422315,1.40708247273716,0,-0.940479639422315,1.40708247273716,0,0.849823675300368,-1.32896909571849,0,0.849823675300368,-1.32896909571849,0,4.63253390177093,-2.10763271000585,0,4.63253390177093,-2.10763271000585,0,-4.70571812091004,3.08188264712267,0,-4.70571812091004,3.08188264712267,0,0.058999266193435,0.045751638195646,0,0.058999266193435,0.045751638195646,0,-0.092357655438844,-0.043243552189131,0,-0.092357655438844,-0.043243552189131
0.315,0,-0.928877975076392,1.40275164161275,0,-0.928877975076392,1.40275164161275,0,0.837919435100009,-1.3220236115125,0,0.837919435100009,-1.3220236115125,0,4.66293563417718,-1.9212377800768,0,4.66293563417718,-1.9212377800768,0,-4.76185845672759,2.93888660528029,0,-4.76185845672759,2.93888660528029,0,0.05366324910327,0.044356605049662,0,0.05366324910327,0.044356605049662,0,-0.085971933670493,-0.042254667360976,0,-0.085971933670493,-0.042254667360976
0.3175,0,-0.917226229623022,1.398867295274,0,-0.917226229623022,1.398867295274,0,0.825905874003077,-1.31542851793181,0,0.825905874003077,-1.31542851793181,0,4.68806662772054,-1.73794404296554,0,4.68806662772054,-1.73794404296554,0,-4.81179416375058,2.79662247378153,0,-4.81179416375058,2.79662247378153,0,0.04824805303044,0.04295395559633,0,0.04824805303044,0.04295395559633,0,-0.079502629667012,-0.041247815173546,0,-0.079502629667012,-0.041247815173546
0.32,0,-0.90553744689032,1.39542179334493,0,-0.90553744689032,1.39542179334493,0,0.813798342679779,-1.30918203307931,0,0.813798342679779,-1.30918203307931,0,4.70792696295654,-1.557745659004,0,4.70792696295654,-1.557745659004,0,-4.85552597886868,2.65508525235601,0,-4.85552597886868,2.65508525235601,0,0.042758943568529,0.041533706205081,0,0.042758943568529,0.041533706205081,0,-0.072952257510862,-0.040213250443928,0,-0.072952257510862,-0.040213250443928
0.3225,0,-0.893824670674571,1.39240749842862,0,-0.893824670674571,1.39240749842862,0,0.801612191625636,-1.30328237762221,0,0.801612191625636,-1.30328237762221,0,4.722516569486,-1.38063689501406,0,4.722516569486,-1.38063689501406,0,-4.89305456813205,2.51427002134494,0,-4.89305456813205,2.51427002134494,0,0.037200441580945,0.040081721347725,0,0.037200441580945,0.040081721347725,0,-0.066321926236754,-0.039137240503122,0,-0.066321926236754,-0.039137240503122
0.325,0,-0.88210094257307,1.38981679017208,0,-0.88210094257307,1.38981679017208,0,0.789362775390253,-1.29772778713461,0,0.789362775390253,-1.29772778713461,0,4.73183572296258,-1.20661209324187,0,4.73183572296258,-1.20661209324187,0,-4.92437972408081,2.37417188548201,0,-4.92437972408081,2.37417188548201,0,0.031578145678715,0.03859233212607,0,0.031578145678715,0.03859233212607,0,-0.059615913379776,-0.038014373915971,0,-0.059615913379776,-0.038014373915971
0.3275,0,-0.870379301532992,1.38764206876296,0,-0.870379301532992,1.38764206876296,0,0.777065453409043,-1.29251651515574,0,0.777065453409043,-1.29251651515574,0,4.73588511608793,-1.03566568683156,0,4.73588511608793,-1.03566568683156,0,-4.94950018653854,2.23478597889766,0,-4.94950018653854,2.23478597889766,0,0.025898953327892,0.037070073259915,0,0.025898953327892,0.037070073259915,0,-0.05284231501527,-0.036849267640123,0,-0.05284231501527,-0.036849267640123
0.33,0,-0.858672786322386,1.38587573672632,0,-0.858672786322386,1.38587573672632,0,0.76473558532946,-1.28764681729447,0,0.76473558532946,-1.28764681729447,0,4.7346654470976,-0.867792129662485,0,4.7346654470976,-0.867792129662485,0,-4.96841468494309,2.09610744729575,0,-4.96841468494309,2.09610744729575,0,0.02016979951304,0.035519928226207,0,0.02016979951304,0.035519928226207,0,-0.046009355320109,-0.035646978913416,0,-0.046009355320109,-0.035646978913416
0.3325,0,-0.846994435350766,1.38451021530792,0,-0.846994435350766,1.38451021530792,0,0.752388529474782,-1.28311696595811,0,0.752388529474782,-1.28311696595811,0,4.7281770901313,-0.702986133002585,0,4.7281770901313,-0.702986133002585,0,-4.98112282700209,1.95813160138031,0,-4.98112282700209,1.95813160138031,0,0.01439695055742,0.033944214601584,0,0.01439695055742,0.033944214601584,0,-0.039123591636322,-0.034409931912157,0,-0.039123591636322,-0.034409931912157
0.335,0,-0.835357286730144,1.38353794128733,0,-0.835357286730144,1.38353794128733,0,0.740039643069524,-1.27892524749279,0,0.740039643069524,-1.27892524749279,0,4.71642015040458,-0.54124262169245,0,4.71642015040458,-0.54124262169245,0,-4.98762494918282,1.82085388876714,0,-4.98762494918282,1.82085388876714,0,0.008586117950916,0.032343037885406,0,0.008586117950916,0.032343037885406,0,-0.032190198220653,-0.033138365983928,0,-0.032190198220653,-0.033138365983928
0.3375,0,-0.823774378721961,1.3829513539506,0,-0.823774378721961,1.3829513539506,0,0.727704283550731,-1.27506995054571,0,0.727704283550731,-1.27506995054571,0,4.69939469668931,-0.382556546917228,0,4.69939469668931,-0.382556546917228,0,-4.98792135347356,1.68426977170586,0,-4.98792135347356,1.68426977170586,0,0.00274298799825,0.030716529371042,0,0.00274298799825,0.030716529371042,0,-0.025214323415797,-0.031832547996236,0,-0.025214323415797,-0.031832547996236
0.34,0,-0.812258751144133,1.382742912588,0,-0.812258751144133,1.382742912588,0,0.715397810770076,-1.27154938222471,0,0.715397810770076,-1.27154938222471,0,4.67710051970286,-0.226923055162319,0,4.67710051970286,-0.226923055162319,0,-4.98201178643455,1.54837481549635,0,-4.98201178643455,1.54837481549635,0,-0.003126835427844,0.029065731542605,0,-0.003126835427844,0.029065731542605,0,-0.018201272263504,-0.030493664860044,0,-0.018201272263504,-0.030493664860044
