, ,t[s],q_fl1,qd_fl1,qdd_fl1,Tau_fl1,q_fl2,qd_fl2,qdd_fl2,Tau_fl2,q_fl3,qd_fl3,qdd_fl3,Tau_fl3,q_fr1,qd_fr1,qdd_fr1,Tau_fr1,q_fr2,qd_fr2,qdd_fr2,Tau_fr2,q_fr3,qd_fr3,qdd_fr3,Tau_fr3,q_bl1,qd_bl1,qdd_bl1,Tau_bl1,q_bl2,qd_bl2,qdd_bl2,Tau_bl2,q_bl3,qd_bl3,qdd_bl3,Tau_bl3,q_br1,qd_br1,qdd_br1,Tau_br1,q_br2,qd_br2,qdd_br2,Tau_br2,q_br3,qd_br3,qdd_br3,Tau_br3
20,20,2.0800000000000014,0.0790430598470547,0.1195455095818665,0,-1.9673509274160728,-0.4360566989327153,-0.0025316611626102,0,-0.5185678036392652,0.8316644453025616,0.1686986498997553,0,-1.07268559925948,0.0201615255659906,0.0845565311186817,0,1.2442153462931271,-0.4518087893580624,-0.0096828785135448,0,-1.141959572218156,1.2280917572961818,-0.3052674587846552,0,-1.981884095593392,0.1079098579039281,-0.3806755561791988,0,1.8249920042632104,0.6862283665305733,-0.0496184786877403,0,0.3272816395991751,-1.3805090580323724,-0.0051131112956472,0,2.243823553621312,0.1022057988821856,-0.4066170888675734,0,-2.7460247050851065,0.5299971814363121,0.2857822371124751,0,1.1959258221148208,-1.365450879789187,-0.241436524279087,0,2.900856632159345
21,21,2.0840000000000014,0.0795130434008434,0.1168352406389444,0,-1.96747902079837,-0.4360687029695352,-0.0031464606241618,0,-0.5208964499267578,0.8323616148963349,0.1761557953298901,0,-1.0726958044514634,0.0204890916503597,0.0810262186676414,0,1.2407711714245588,-0.451843868489426,-0.0084665547796474,0,-1.1443353320207208,1.226837342140337,-0.3163752830239108,0,-1.9814313903288436,0.1063741786024309,-0.3850473045283712,0,1.8294846678485093,0.6860241835518014,-0.0515370020220475,0,0.3292658033130752,-1.3805362413901343,-0.007347783879654,0,2.24393290150729,0.1005675657602094,-0.4105864987493938,0,-2.7406248571528824,0.5311548686481723,0.2906537132878199,0,1.1956909455739235,-1.366424708550619,-0.2441414483423663,0,2.9035930869811746
22,22,2.0880000000000014,0.0799720153432877,0.114068385659094,0,-1.9675718603997985,-0.4360831978624108,-0.0037721055333047,0,-0.5231702559147541,0.8330886092043244,0.1836123656179306,0,-1.072739383443853,0.020802522265222,0.0774912103349616,0,1.2374242997234732,-0.4518741777354855,-0.0072823017888045,0,-1.1466852340026663,1.2255395979750514,-0.3271165606169033,0,-1.9809636561754616,0.1048215750570193,-0.3892330001177834,0,1.8340566487451957,0.6858120658997355,-0.0535419079209435,0,0.331256328684982,-1.3805719567967971,-0.0094473181860983,0,2.2440960837314976,0.0989139666458067,-0.4143867550615732,0,-2.7350895164393907,0.5323315150506935,0.2953512415470591,0,1.195341166623008,-1.3674090818254354,-0.2467551148154256,0,2.9063385736382323
23,23,2.0920000000000014,0.080419767660282,0.1112526606125936,0,-1.967703511433034,-0.4361002083961087,-0.0044001103132746,0,-0.5254087494861842,0.8338454189337213,0.1910635979779867,0,-1.0728181248787052,0.0211018105109037,0.0739564235891577,0,1.2342023793525148,-0.4518998470867685,-0.0061304827162394,0,-1.1489937379679624,1.2241999845720772,-0.3374939858288637,0,-1.9804773645087836,0.1032527737100463,-0.3932392352696403,0,1.8388160408508585,0.6855916619393453,-0.055634959489362,0,0.3332941869898405,-1.3806156521215367,-0.0114078967848835,0,2.2443373263181776,0.0972456651668986,-0.4180229984595242,0,-2.729550380724067,0.5335264174881128,0.2998721861000601,0,1.19485541510839,-1.3684036182245758,-0.2492718803795269,0,2.909075193373159
24,24,2.0960000000000014,0.0808563223627007,0.1084626942646011,0,-1.9677536112071283,-0.4361194483669147,-0.0049292844662312,0,-0.5277068132727911,0.8346317055691655,0.1983989108052694,0,-1.072932849571214,0.0213870940875832,0.0704690389075961,0,1.2309184580868966,-0.451920990771791,-0.0050057596985501,0,-1.1512665806826887,1.2228198849045184,-0.3475328378883836,0,-1.9799647489568084,0.1016683917437165,-0.397100844322821,0,1.843756293982992,0.6853626526210342,-0.0578045565615846,0,0.3354011491301664,-1.3806667635922916,-0.0132268302532573,0,2.244628718735035,0.095563198455502,-0.4215361386391202,0,-2.7239085268355607,0.5347388456383111,0.3042085463620907,0,1.1943526817720795,-1.369407897071384,-0.2516805490699434,0,2.911884345070804
25,25,2.1000000000000014,0.081281780874257,0.1056926654705899,0,-1.9678903297748285,-0.4361405386816508,-0.0053723255949285,0,-0.5300950548758663,0.8354469360876461,0.2056028999968813,0,-1.073093184023021,0.0216585644934881,0.0670265568411423,0,1.2276847360609324,-0.4519377174341192,-0.0039086151225573,0,-1.153543448466717,1.2214006206718593,-0.3572424302085529,0,-1.979449336293776,0.1000690032737423,-0.4008169984099924,0,1.8488050278764725,0.6851247572438418,-0.0600431047115565,0,0.3375800855270611,-1.380724728416505,-0.0149054280440263,0,2.244963794649697,0.0938670539895742,-0.4249252992589346,0,-2.7181238250221997,0.5359680817330258,0.3083677156408637,0,1.193751334434428,-1.370421481109149,-0.2539801866032593,0,2.9147354697925687
26,26,2.104000000000001,0.0816961648225477,0.1029237683982374,0,-1.9679940368359328,-0.4361632206455602,-0.0057570549289374,0,-0.5325563983737178,0.836290613531299,0.212685120760609,0,-1.073302055944504,0.0219163746408712,0.0636202552598511,0,1.2244161062221852,-0.4519501430639406,-0.0028408663420751,0,-1.155747967528242,1.2199434959176512,-0.3666270570339964,0,-1.9789043197747256,0.0984552078489892,-0.4043818998756293,0,1.853996572300788,0.6848777149187181,-0.0623456594867282,0,0.3397986289365214,-1.3807889917692209,-0.0164459610786649,0,2.24533281284265,0.0921577529053721,-0.4281822731444754,0,-2.712234501599945,0.537213435185285,0.3123556194783809,0,1.193116809517311,-1.371443937163948,-0.2561717764298151,0,2.9176478176166363
27,27,2.108000000000001,0.0820994440670046,0.1001447660882002,0,-1.968175429458428,-0.436187318742506,-0.0061022219384362,0,-0.534972450467038,0.8371622817954899,0.2196559673235269,0,-1.0735098548546975,0.0221606456230351,0.0602424178700695,0,1.2212265265371742,-0.4519583845168189,-0.0018022656780001,0,-1.1579232560182908,1.21844979769175,-0.3756909486864602,0,-1.9783544985386647,0.0968276218585359,-0.4077918333565347,0,1.8593842956185036,0.6846212775796999,-0.0647095697760114,0,0.3421300507710781,-1.3808590098763394,-0.0178513101148893,0,2.245775645859305,0.0904358363879791,-0.4313030041099086,0,-2.7063079676844723,0.5384742381808779,0.3161778627508305,0,1.1923764459595154,-1.3724748368007882,-0.2582565558558823,0,2.9205814292825347
28,28,2.112000000000001,0.0824915517371526,0.0973470823627563,0,-1.9683238259041589,-0.4362127152447581,-0.0064210135892991,0,-0.5374331183635235,0.8380615317783356,0.2265275863136119,0,-1.0737675245602427,0.0223914784456862,0.0568888110926145,0,1.218009169751562,-0.4519625594335298,-0.0007931291307036,0,-1.1600395518504616,1.2169207998242626,-0.3844370992755903,0,-1.9777890034017347,0.0951868755736892,-0.4110434016489858,0,1.864851924064577,0.68435520918609,-0.0671317728957782,0,0.344491954566236,-1.3809342509050846,-0.0191244658965612,0,2.2462521747351194,0.0887018538787311,-0.434286004220047,0,-2.7002645203318374,0.5397498358799127,0.319836961981329,0,1.1915351055739989,-1.3735137564743314,-0.2602357178565448,0,2.923538584204507
29,29,2.116000000000001,0.0828724000501592,0.094526467253159,0,-1.9684936552374923,-0.4362393335336445,-0.0067228428574859,0,-0.5398797056206235,0.8389879995713974,0.2333109861510345,0,-1.074052803439791,0.0226089560652933,0.053554859033421,0,1.21491964793883,-0.4519627829045046,0.0001874604943072,0,-1.1621589170040056,1.2153577614279856,-0.3928694230335743,0,-1.9772357841356276,0.0935335991395542,-0.414137659987041,0,1.8705145384203208,0.6840792757941088,-0.0696125011433667,0,0.3468144026034317,-1.3810141934725164,-0.0202678997580989,0,2.2467388434642266,0.0869563595183427,-0.4371302292822216,0,-2.6941460240973054,0.5410395810435008,0.3233346394389495,0,1.1906252967620474,-1.3745602745011518,-0.2621094941180886,0,2.9265249862626708
